id,price_doc
30474,5679731.5
30475,8252485.0
30476,5321573.0
30477,5527735.5
30478,5270652.5
30479,9349974.0
30480,4456591.0
30481,4412797.5
30482,4690112.0
30483,4942624.5
30484,6772230.0
30485,5031611.5
30486,3943318.5
30487,3889770.25
30488,6273643.5
30489,6326389.5
30490,23617472.0
30491,18705754.0
30492,5965909.5
30493,14253112.0
30494,6850822.0
30495,11603542.0
30496,9229534.0
30497,8350791.5
30498,4732846.5
30499,8376829.5
30500,12035318.0
30501,6949241.0
30502,3253166.5
30503,6809334.0
30504,5990719.5
30505,11451548.0
30506,3188466.0
30507,4866849.0
30508,5340591.0
30509,7550554.5
30510,9200070.0
30511,6596991.5
30512,6784636.0
30513,4288763.5
30514,3882848.25
30515,9878230.0
30516,5934777.0
30517,10998928.0
30518,8200666.5
30519,4864911.0
30520,6886756.0
30521,5841983.0
30522,7218333.0
30523,6523420.5
30524,11149116.0
30525,10321030.0
30526,5137913.5
30527,5132282.5
30528,6941878.0
30529,6343850.0
30530,6537110.5
30531,15161398.0
30532,5223572.0
30533,10148698.0
30534,6823587.0
30535,9716696.0
30536,5931595.5
30537,11862474.0
30538,5099007.5
30539,9512942.0
30540,9914550.0
30541,6350960.5
30542,2254863.75
30543,5966326.0
30544,6750846.0
30545,8340290.5
30546,4375577.5
30547,9605128.0
30548,4872620.5
30549,5176961.0
30550,12349012.0
30551,4885881.5
30552,2057044.75
30553,7197710.0
30554,11856140.0
30555,6301802.0
30556,9218794.0
30557,7615028.0
30558,9521802.0
30559,6425100.5
30560,6277815.0
30561,7093409.5
30562,12241212.0
30563,4589028.5
30564,7121898.5
30565,6978319.5
30566,7065877.5
30567,2037266.875
30568,10009710.0
30569,9657618.0
30570,6873673.5
30571,7893628.5
30572,5114442.0
30573,7173106.5
30574,6018275.0
30575,7848898.5
30576,4380373.5
30577,4376002.0
30578,3245898.0
30579,7357885.0
30580,4811310.0
30581,5737267.5
30582,13683290.0
30583,7078249.5
30584,4473274.0
30585,2472692.0
30586,9080150.0
30587,5805218.5
30588,9026040.0
30589,7313591.0
30590,12965126.0
30591,5368443.5
30592,6801992.5
30593,9214338.0
30594,7531233.0
30595,5525634.5
30596,6731001.0
30597,7173106.5
30598,9969518.0
30599,11882112.0
30600,4994970.5
30601,6215214.0
30602,2073131.25
30603,12400512.0
30604,4804904.5
30605,7122144.0
30606,24266558.0
30607,7105880.0
30608,8933162.0
30609,6409709.0
30610,3063598.75
30611,5320289.5
30612,7323563.0
30613,8940020.0
30614,16899056.0
30615,7801053.5
30616,5520612.0
30617,9506318.0
30618,5143355.0
30619,4250411.0
30620,2709628.25
30621,8894900.0
30622,8993512.0
30623,6207034.0
30624,6720742.0
30625,8094671.0
30626,6590664.0
30627,7598032.0
30628,7004216.5
30629,5188907.0
30630,4844920.5
30631,5749989.0
30632,4206075.0
30633,5908552.0
30634,11726958.0
30635,10065348.0
30636,5402644.0
30637,9822412.0
30638,6191168.0
30639,7840035.0
30640,4981715.5
30641,7810074.0
30642,6569431.0
30643,7745150.0
30644,9875314.0
30645,6919287.0
30646,5474560.5
30647,4943971.0
30648,25427292.0
30649,2538606.25
30650,5094585.0
30651,3260842.0
30652,4467269.0
30653,7234434.0
30654,4567193.0
